BCT,Mumbai Central ,9 
DDR,Dadar Western ,7 
BVI,Borivali ,9 
CHP,Chhapi ,2 
JWB,Jawai Bandh ,2 
RANI,Rani ,2 
BDTS,Bandra Terminus ,7 
RTM,Ratlam Junction ,7 
NMH,Nimach ,3 
COR,Chittaurgarh Junction ,5 
BHL,Bhilwara ,3 
MVJ,Mavli Junction ,5 
RPZ,Ranapratapnagar ,2 
MDL,Mandal ,1 
GBP,Gulabpura ,1 
BJNR,Bijainagar ,2 
NSD,Nasirabad ,2 
NLI,Namli ,2 
JAO,Jaora ,2 
DOD,Dhodhar ,2 
MDS,Mandsor ,2 
PIP,Piplia ,2 
MLG,Malhargarh ,2 
NBH,Nimbahera ,1 
CNA,Chanderiya ,2 
GGR,Gangrar ,1 
HMG,Hamirgarh ,2 
SSR,Sareri ,1 
SDAH,Sealdah ,20 
MDP,Madhupur Junction ,4 
JSME,Jasidih Junction ,5 
JAJ,Jhajha ,4 
KIUL,Kiul Junction ,5 
MKA,Mokama ,4 
PNC,Patna Saheb ,3 
PNBE,Patna Junction ,10 
MGS,Mughal Sarai Junction ,8 
BSB,Varanasi Junction ,9 
SLN,Sultanpur Junction ,3 
LKO,Lucknow Charbagh NR ,9 
BE,Bareilly Junction ,4 
MB,Moradabad Junction ,7 
NBD,Najibabad Junction ,3 
SRE,Saharanpur Junction ,6 
UMB,Ambala Cantt. Junction ,7 
LDH,Ludhiana Junction ,7 
BEAS,Beas Junction ,2 
ASR,Amritsar Junction ,6 
RMU,Rampur Junction ,3 
AMRO,Amroha ,3 
HPU,Hapur Junction ,5 
GZB,Ghaziabad Junction ,6 
DLI,Old Delhi Junction ,16 
DEE,Delhi Sarai Rohilla ,5 
DEC,Delhi Cantt. ,5 
PM,Palam ,3 
GGN,Gurgaon ,3 
GHH,Garhi Harsaru Junction ,3 
PTRD,Pataudi Road ,3 
RE,Rewari Junction ,8 
KRH,Khairthal ,2 
AWR,Alwar Junction ,2 
MKH,Malakhera ,1 
RHG,Rajgarh ,2 
