JMU     ,    JAMUI            ,  http://indiarailinfo.com/arrivals/jamui-jmu/593
VHGN    ,    WIHIRGAON        ,  http://indiarailinfo.com/arrivals/wihirgaon-vhgn/6206
DZA     ,    DASUYA           ,  http://indiarailinfo.com/arrivals/dasuya-dza/96
MAI     ,    MEHSI            ,  http://indiarailinfo.com/arrivals/mehsi-mai/920
PPTA    ,    PATLIPUTRA       ,  http://indiarailinfo.com/arrivals/patliputra-junction-ppta/10103
CAPE    ,    KANYAKUMARI      ,  http://indiarailinfo.com/arrivals/kanniyakumari-cape/1010
MXN     ,    MARIANI JN       ,  NULL
KS      ,    KHETA SARAI      ,  http://indiarailinfo.com/arrivals/kheta-sarai-ks/1743
KHU     ,    KHURHAND         ,  http://indiarailinfo.com/arrivals/khurhand-khu/1398
GGN     ,    GURGAON          ,  http://indiarailinfo.com/arrivals/gurgaon-ggn/353
TIA     ,    TILAYA           ,  http://indiarailinfo.com/arrivals/tilaiya-junction-tia/1851
TLO     ,    TALANDU          ,  http://indiarailinfo.com/arrivals/talandu-tlo/9244
CHTI    ,    CHANETI          ,  http://indiarailinfo.com/arrivals/chaneti-chti/12038
KRMI    ,    KARMALI          ,  http://indiarailinfo.com/arrivals/karmali-krmi/1853
JNR     ,    JANAKPUR ROAD    ,  http://indiarailinfo.com/arrivals/janakpur-road-jnr/4591
KCNR    ,    KACHNARA ROAD    ,  http://indiarailinfo.com/arrivals/kachnara-road-kcnr/3227
KMST    ,    KAMSHET          ,  http://indiarailinfo.com/arrivals/kamshet-kmst/3155
TEA     ,    TAREGNA          ,  http://indiarailinfo.com/arrivals/taregna-tea/1808
KZA     ,    KHADA            ,  http://indiarailinfo.com/arrivals/khada-kza/2412
AKV     ,    ANKLESHWAR JN    ,  http://indiarailinfo.com/arrivals/ankleshwar-junction-akv/156
BAM     ,    BRAHMAPUR        ,  http://indiarailinfo.com/arrivals/brahmapur-bam/224
SBW     ,    SBEWBABUDIH      ,  NULL
BVRT    ,    BHIMAVARAM TOWN  ,  http://indiarailinfo.com/arrivals/bhimavaram-town-bvrt/1303
PPH     ,    PIPRI DIH        ,  http://indiarailinfo.com/arrivals/pipri-dih-pph/3442
GUU     ,    GUNDRATIMADUGU   ,  NULL
MB      ,    MORADABAD        ,  http://indiarailinfo.com/arrivals/moradabad-junction-mb/338
SMRR    ,    SUMRERI          ,  http://indiarailinfo.com/arrivals/sumreri-smrr/1312
BRH     ,    BAIKUNTHPUR RD   ,  http://indiarailinfo.com/arrivals/baikunthpur-road-brh/3078
DMG     ,    DOMINGARH        ,  http://indiarailinfo.com/arrivals/domingarh-dmg/2251
MRM     ,    MAMANDURU        ,  http://indiarailinfo.com/arrivals/mamanduru-mrm/4737
GPZ     ,    GOHPUR           ,  http://indiarailinfo.com/arrivals/gohpur-gpz/864
BSR     ,    VASAI ROAD       ,  http://indiarailinfo.com/arrivals/vasai-road-bsr/70
MFL     ,    MISRAULI         ,  http://indiarailinfo.com/arrivals/misrauli-mfl/1101
DXR     ,    DIGSAR           ,  http://indiarailinfo.com/arrivals/digsar-dxr/4214
TAO     ,    TAMNA            ,  http://indiarailinfo.com/arrivals/tamna-tao/4286
CKR     ,    CHIKODI ROAD     ,  http://indiarailinfo.com/arrivals/chikodi-road-ckr/2066
MKDN    ,    MORKADHANA       ,  http://indiarailinfo.com/arrivals/morkadhana-mkdn/3430
VKH     ,    VIKHRAN ROAD     ,  NULL
TPJ     ,    TIRUCHCHIRAPALI  ,  http://indiarailinfo.com/arrivals/tiruchchirappalli-junction-tpj/787
AAM     ,    ANGADIPPURAM     ,  http://indiarailinfo.com/arrivals/angadippuram-aam/6565
GGC     ,    GANGAPUR CITY    ,  http://indiarailinfo.com/arrivals/gangapur-city-ggc/894
NDO     ,    NIDUBROLU        ,  http://indiarailinfo.com/arrivals/nidubrolu-ndo/419
HPLE    ,    HATPURAINI       ,  http://indiarailinfo.com/arrivals/hatpuraini-hple/2352
BMF     ,    BASMAT           ,  http://indiarailinfo.com/arrivals/basmat-bmf/4189
SSKA    ,    SISARKA          ,  http://indiarailinfo.com/arrivals/sisarka-sska/4907
VSU     ,    BISHNUPUR        ,  http://indiarailinfo.com/arrivals/bishnupur-vsu/954
BCHL    ,    BACHELI          ,  http://indiarailinfo.com/arrivals/bacheli-bchl/2020
KNDI    ,    KANDRORI         ,  http://indiarailinfo.com/arrivals/kandrori-kndi/2895
NZB     ,    NIZAMABAD        ,  NULL
SWF     ,    SATHIN ROAD      ,  http://indiarailinfo.com/arrivals/sathin-road-swf/6160
SNI     ,    SINDI            ,  http://indiarailinfo.com/arrivals/sindi-sni/1586
FK      ,    FEROK            ,  http://indiarailinfo.com/arrivals/ferok-fk/1485
UTL     ,    UTARLAI          ,  http://indiarailinfo.com/arrivals/utarlai-utl/2150
GGB     ,    GARHMUKTESAR BR  ,  NULL
SBPY    ,    SAMBALPUR CITY   ,  http://indiarailinfo.com/arrivals/sambalpur-city-sbpy/2928
MTM     ,    MACHILIPATNAM    ,  http://indiarailinfo.com/arrivals/machilipatnam-mtm/2455
KRCD    ,    KHARWA CHANDA    ,  http://indiarailinfo.com/arrivals/kharwa-chanda-krcd/6015
PJGM    ,    PANJGAM          ,  NULL
HAD     ,    HARIPPAD         ,  http://indiarailinfo.com/arrivals/harippad-had/56
NG      ,    NAGARI           ,  http://indiarailinfo.com/arrivals/nagari-ng/2540
BLDA    ,    BELDA            ,  http://indiarailinfo.com/arrivals/belda-blda/7304
BWT     ,    BANGARAPET       ,  http://indiarailinfo.com/arrivals/bangarapet-junction-bwt/990
MBL     ,    MANUBOLU         ,  http://indiarailinfo.com/arrivals/manubolu-mbl/4550
POE     ,    PAWAPURI ROAD H  ,  NULL
PPZ     ,    PEDDAMPET        ,  http://indiarailinfo.com/arrivals/peddampet-ppz/1186
PNM     ,    PANYAM           ,  http://indiarailinfo.com/arrivals/panyam-pnm/3296
ABFC    ,    AMBARI FALAKATA  ,  http://indiarailinfo.com/arrivals/ambari-falakata-abfc/1596
NKP     ,    NIRAKARPUR       ,  http://indiarailinfo.com/arrivals/nirakarpur-nkp/1767
WKA     ,    VAKAV            ,  http://indiarailinfo.com/arrivals/vakav-wka/6051
PRWD    ,    PAREWADI         ,  NULL
DNDI    ,    DHONDI           ,  http://indiarailinfo.com/arrivals/dhondi-dndi/3477
DPX     ,    DADPUR           ,  http://indiarailinfo.com/arrivals/dadpur-dpx/3543
NHH     ,    NIHALGARH        ,  http://indiarailinfo.com/arrivals/nihalgarh-nhh/636
BIX     ,    BHIND            ,  http://indiarailinfo.com/arrivals/bhind-bix/1217
LOL     ,    LOLIEM           ,  http://indiarailinfo.com/arrivals/loliem-lol/9867
KWV     ,    KURDUVADI        ,  http://indiarailinfo.com/arrivals/kurduvadi-junction-kwv/1573
NKI     ,    NAIKHERI         ,  NULL
CBK     ,    CHACHAURA BNGJ   ,  NULL
ATRU    ,    ATRU             ,  http://indiarailinfo.com/arrivals/atru-atru/3194
BVRM    ,    BHIMAVARAM JN    ,  NULL
IPL     ,    IDAPLLI          ,  NULL
KJU     ,    KUNTIGHAT        ,  http://indiarailinfo.com/arrivals/kuntighat-kju/4122
MOO     ,    MUDDANURU        ,  http://indiarailinfo.com/arrivals/muddanuru-moo/2362
KMA     ,    KAIMA            ,  http://indiarailinfo.com/arrivals/kaima-kma/5157
TVP     ,    TRIVANDRUM PETT  ,  NULL
BSX     ,    BASAR            ,  http://indiarailinfo.com/arrivals/basar-bsx/1680
MQS     ,    MALSIAN SHAHKHT  ,  http://indiarailinfo.com/arrivals/malsian-shahkot-mqs/1822
